Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF,HDCA,HDCF%,HDGF,HDGA,HDGF%,MDCF,MDCA,MDCF%,MDGF,MDGA,MDGF%,LDCF,LDCA,LDCF%,LDGF,LDGA,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts,Neu. Zone Starts,Def. Zone Starts,On The Fly Starts,Off. Zone Start %,Off. Zone Faceoffs,Neu. Zone Faceoffs,Def. Zone Faceoffs,Off. Zone Faceoff %
Anthony Beauvillier,"CHI, NSH, VAN",LW,60,744.73333333333,3,10,5,5,13,56.52,93,3.23,9.97,177,144,100,43,2,18,8,4,4,0,0,5,8,30,52,86,35,38,34,52.78,700,817,46.14,496,570,46.53,338,395,46.11,23,31,42.59,31.77,34.03,48.28,332,389,46.05,138,152,47.59,16,21,43.24,194,237,45.01,3,8,27.27,405,440,47.93,4,2,66.67,6.80,92.15,0.990,93,141,80,610,53.76,193,187,206,48.37
Anthony Cirelli,TBL,C,79,1174.9,14,21,11,10,35,51.47,106,13.21,13.79,204,155,122,70,6,22,34,13,12,0,1,24,21,39,61,101,59,376,359,51.16,1235,1109,52.69,851,788,51.92,574,539,51.57,68,69,49.64,61.1,56.77,51.83,585,504,53.72,235,195,54.65,33,27,55.00,350,309,53.11,16,25,39.02,696,676,50.73,17,13,56.67,11.85,87.20,0.990,179,328,235,711,43.24,319,436,415,43.46
Anthony Duclair,"SJS, TBL",LW,73,1018.0333333333,19,11,7,4,30,61.22,103,18.45,13.21,199,150,119,65,6,16,30,11,10,0,1,12,15,34,48,51,35,17,27,38.64,953,1194,44.39,661,851,43.72,456,598,43.26,49,54,47.57,45.3,55.36,45.00,460,589,43.85,195,235,45.35,29,22,56.86,265,354,42.81,12,19,38.71,543,687,44.15,8,13,38.10,10.75,90.97,1.017,159,252,151,758,51.29,338,329,347,49.34
Anthony Mantha,"VGK, WSH",RW,74,929.66666666667,20,16,10,6,36,67.92,96,20.83,10.61,192,140,110,57,9,15,25,10,9,1,0,9,17,23,51,37,30,2,6,25.00,929,864,51.81,667,593,52.94,452,406,52.68,53,39,57.61,43.43,37.75,53.50,406,377,51.85,184,135,57.68,32,19,62.75,222,242,47.84,14,14,50.00,534,479,52.71,7,6,53.85,11.73,90.39,1.021,116,193,117,691,49.79,216,259,223,49.20
Anthony Richard,BOS,C,9,95.466666666667,1,2,2,0,3,75.00,6,16.67,0.74,10,10,7,6,0,0,2,1,1,0,0,0,2,3,25,14,5,0,1,0.00,73,123,37.24,53,87,37.86,38,56,40.43,4,4,50.00,2.97,5.36,35.67,37,55,40.22,19,21,47.50,4,3,57.14,18,34,34.62,0,0,-,33,62,34.74,0,1,0.00,10.53,92.86,1.034,15,23,11,98,57.69,19,33,23,45.24
Anton Blidh,NYR,LW,1,5.35,0,0,0,0,0,-,1,0.00,0.01,1,1,0,0,0,0,2,1,1,0,0,1,0,0,1,0,0,0,0,-,4,8,33.33,3,6,33.33,2,5,28.57,0,1,0.00,0.05,0.26,16.81,1,4,20.00,0,2,0.00,0,1,0.00,1,2,33.33,0,0,-,0,4,0.00,0,0,-,0.00,80.00,0.800,0,0,1,9,0.00,0,0,2,0.00
Anton Lundell,FLA,C,78,1009.4666666667,12,17,8,9,29,61.70,135,8.89,14.17,234,182,123,60,11,25,44,17,16,0,1,13,27,22,58,82,32,420,356,54.12,1149,886,56.46,782,664,54.08,539,429,55.68,47,29,61.84,51.24,41.29,55.37,473,387,55.00,197,172,53.39,22,17,56.41,276,215,56.21,14,5,73.68,713,507,58.44,8,7,53.33,8.72,93.24,1.020,184,233,133,777,58.04,340,326,255,57.14
Anze Kopitar,LAK,C,81,1195.3333333333,16,28,16,12,44,66.67,97,16.49,11.55,179,135,101,53,3,12,22,7,6,0,1,11,29,42,34,67,57,630,490,56.25,1266,1073,54.13,885,763,53.70,619,526,54.06,66,53,55.46,56.41,50.93,52.55,557,488,53.30,227,188,54.70,36,27,57.14,330,300,52.38,14,12,53.85,788,652,54.72,13,10,56.52,10.66,89.92,1.006,197,253,170,819,53.68,408,358,402,50.37
Arber Xhekaj,MTL,D,44,640.91666666667,3,7,6,1,10,31.25,54,5.56,1.35,137,78,26,1,2,7,79,28,22,5,1,16,28,4,120,39,46,0,0,-,627,657,48.83,443,468,48.63,313,328,48.83,32,24,57.14,29.79,29.43,50.30,282,303,48.21,140,117,54.47,15,14,51.72,142,186,43.29,10,8,55.56,371,342,52.03,6,2,75.00,10.22,92.68,1.029,81,111,55,449,59.56,195,178,153,56.03
Arshdeep Bains,VAN,LW,8,89.866666666667,0,0,0,0,0,-,4,0.00,0.44,9,5,6,3,1,0,6,3,3,0,0,3,1,1,7,9,2,0,2,0.00,66,78,45.83,43,54,44.33,28,38,42.42,0,5,0.00,2.21,3.85,36.43,28,32,46.67,11,20,35.48,0,3,0.00,17,12,58.62,0,0,-,37,59,38.54,0,2,0.00,0.00,86.84,0.868,11,20,18,81,37.93,20,28,35,36.36
