Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF,HDCA,HDCF%,HDGF,HDGA,HDGF%,MDCF,MDCA,MDCF%,MDGF,MDGA,MDGF%,LDCF,LDCA,LDCF%,LDGF,LDGA,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts,Neu. Zone Starts,Def. Zone Starts,On The Fly Starts,Off. Zone Start %,Off. Zone Faceoffs,Neu. Zone Faceoffs,Def. Zone Faceoffs,Off. Zone Faceoff %
Ty Dellandrea,SJS,C,68,73.283333333333,0,1,1,0,1,100.00,5,0.00,0.55,5,5,3,1,0,1,0,0,0,0,0,2,2,1,2,1,8,20,35,36.36,15,141,9.62,13,106,10.92,12,71,14.46,1,15,6.25,0.74,11.83,5.88,5,83,5.68,1,36,2.70,0,7,0.00,4,47,7.84,1,3,25.00,4,97,3.96,0,5,0.00,8.33,78.87,0.872,0,6,55,55,0.00,2,12,69,2.82
Ty Emberson,EDM,D,75,150.03333333333,0,1,0,1,1,50.00,1,0.00,0,2,1,0,0,1,0,0,0,0,0,0,1,4,2,12,2,25,0,0,-,29,268,9.76,26,195,11.76,17,130,11.56,2,16,11.11,1.95,21.2,8.44,13,154,7.78,8,55,12.70,0,8,0.00,5,99,4.81,2,4,33.33,8,187,4.10,0,4,0.00,11.76,87.69,0.995,0,11,101,108,0.00,4,18,146,2.67
Tye Felhaber,COL,LW,5,0.18333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,-,-,-,0,0,0,1,-,0,0,0,-
Tye Kartye,SEA,LW,63,26.533333333333,1,0,0,0,1,100.00,1,100.00,0.08,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0.00,7,52,11.86,7,37,15.91,7,23,23.33,1,2,33.33,0.32,3.51,8.27,2,24,7.69,0,10,0.00,0,2,0.00,2,14,12.50,1,0,100.00,2,39,4.88,0,0,-,14.29,91.30,1.056,0,2,12,33,0.00,0,3,16,0.00
Tyler Bertuzzi,CHI,LW,82,0.033333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,-,-,-,0,0,0,1,-,0,0,0,-
Tyler Johnson,BOS,C,9,0.16666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,-,-,-,0,0,0,0,-,0,0,0,-
Tyler Kleven,OTT,D,79,20.4,0,0,0,0,0,0.00,1,0.00,0.06,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,-,11,26,29.73,11,19,36.67,9,14,39.13,3,2,60.00,1.33,1.48,47.39,8,16,33.33,5,5,50.00,3,1,75.00,3,11,21.43,0,1,0.00,2,14,12.50,0,0,-,33.33,85.71,1.190,0,2,11,49,0.00,0,2,11,0.00
Tyler Motte,DET,C,55,83.983333333333,0,0,0,0,0,-,4,0.00,1.1,7,7,4,3,3,1,0,0,0,0,0,2,2,3,0,0,12,3,4,42.86,14,156,8.24,13,105,11.02,9,63,12.50,0,15,0.00,1.26,10.53,10.71,5,76,6.17,3,35,7.89,0,7,0.00,2,41,4.65,0,5,0.00,4,123,3.15,0,3,0.00,0.00,76.19,0.762,1,8,60,61,1.64,1,13,72,1.37
Tyler Myers,VAN,D,71,156.15,1,1,1,0,2,66.67,4,25.00,0.27,8,6,2,1,0,0,2,1,1,0,0,0,5,2,9,1,20,0,0,-,41,252,13.99,37,186,16.59,26,129,16.77,3,18,14.29,2.05,20.46,9.11,14,154,8.33,4,66,5.71,2,10,16.67,10,88,10.20,1,5,16.67,13,189,6.44,0,3,0.00,11.54,86.05,0.976,0,15,102,94,0.00,3,23,153,1.92
Tyler Seguin,DAL,C,20,12.2,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,33.33,4,14,22.22,4,13,23.53,4,7,36.36,0,2,0.00,0.17,1.75,8.89,2,9,18.18,1,5,16.67,0,2,0.00,1,4,20.00,0,0,-,1,11,8.33,0,0,-,0.00,71.43,0.714,0,1,11,21,0.00,0,1,12,0.00
Tyler Toffoli,SJS,C,78,2.8833333333333,0,0,0,0,0,-,0,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,3,2,60.00,1,1,50.00,1,0,100.00,0,0,-,0.02,0.27,5.40,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,3,0,100.00,0,0,-,0.00,-,0.00,1,0,0,8,100.00,3,0,0,100.00
Tyler Tucker,STL,D,38,34.45,0,1,0,1,1,50.00,0,-,0.02,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,-,5,67,6.94,5,54,8.47,3,36,7.69,2,4,33.33,1.07,4.7,18.50,3,34,8.11,1,11,8.33,1,1,50.00,2,23,8.00,1,2,33.33,2,52,3.70,0,1,0.00,66.67,88.89,1.556,0,5,26,13,0.00,1,5,32,3.03
Tyson Barrie,CGY,D,13,0.4,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,1,0.00,0,0,-,-,-,-,0,0,0,4,-,0,0,1,0.00
Tyson Foerster,PHI,RW,81,75.416666666667,0,0,0,0,0,-,6,0.00,0.42,7,7,5,1,1,0,0,0,0,0,0,1,2,2,1,0,3,0,0,-,17,116,12.78,16,81,16.49,9,57,13.64,0,10,0.00,1.19,9.04,11.60,9,63,12.50,4,26,13.33,0,5,0.00,5,37,11.90,0,3,0.00,7,80,8.05,0,2,0.00,0.00,82.46,0.825,4,9,44,63,8.33,4,11,53,7.02
Tyson Jost,CAR,C,39,7.45,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,50.00,1,11,8.33,1,8,11.11,1,6,14.29,0,1,0.00,0.1,0.89,9.85,1,6,14.29,0,3,0.00,0,1,0.00,1,3,25.00,0,0,-,1,6,14.29,0,0,-,0.00,83.33,0.833,2,0,1,8,66.67,2,0,3,40.00
Tyson Kozak,BUF,C,21,6.5833333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,40.00,1,13,7.14,1,10,9.09,1,7,12.50,0,1,0.00,0.04,0.83,4.35,0,7,0.00,0,4,0.00,0,1,0.00,0,3,0.00,0,0,-,2,10,16.67,0,0,-,0.00,85.71,0.857,1,1,8,6,11.11,1,2,8,11.11
Urho Vaakanainen,"ANA, NYR",D,51,44.483333333333,0,0,0,0,0,0.00,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,3,0,0,-,16,77,17.20,15,63,19.23,11,41,21.15,3,6,33.33,1.44,7.21,16.65,11,47,18.97,5,24,17.24,1,4,20.00,6,23,20.69,2,2,50.00,6,37,13.95,0,0,-,27.27,85.37,1.126,1,4,12,50,7.69,3,6,17,15.00
Uvis Balinskis,FLA,D,76,32.283333333333,0,0,0,0,0,0.00,0,-,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,-,7,39,15.22,6,29,17.14,4,13,23.53,1,1,50.00,0.46,3.2,12.68,1,22,4.35,0,11,0.00,0,1,0.00,1,11,8.33,0,0,-,6,22,21.43,0,0,-,25.00,92.31,1.173,0,4,8,47,0.00,3,6,9,25.00
Valeri Nichushkin,COL,RW,43,55.55,0,0,0,0,0,-,1,0.00,0.18,3,3,1,1,0,0,2,1,1,0,0,0,1,0,1,0,4,2,3,40.00,14,87,13.86,14,68,17.07,10,48,17.24,0,6,0.00,0.53,7.66,6.41,4,46,8.00,2,21,8.70,0,2,0.00,2,25,7.41,0,2,0.00,5,62,7.46,0,2,0.00,0.00,87.50,0.875,1,3,31,58,3.13,3,4,42,6.67
Vasily Podkolzin,EDM,RW,81,60.083333333333,0,0,0,0,0,-,1,0.00,0.49,6,5,2,1,0,1,0,0,0,0,0,0,3,0,6,2,4,1,2,33.33,15,76,16.48,14,54,20.59,7,34,17.07,0,5,0.00,1.33,5.55,19.38,8,41,16.33,4,18,18.18,0,1,0.00,4,23,14.81,0,3,0.00,8,34,19.05,0,1,0.00,0.00,85.29,0.853,3,4,2,100,60.00,4,6,2,66.67
