Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF,HDCA,HDCF%,HDGF,HDGA,HDGF%,MDCF,MDCA,MDCF%,MDGF,MDGA,MDGF%,LDCF,LDCA,LDCF%,LDGF,LDGA,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts,Neu. Zone Starts,Def. Zone Starts,On The Fly Starts,Off. Zone Start %,Off. Zone Faceoffs,Neu. Zone Faceoffs,Def. Zone Faceoffs,Off. Zone Faceoff %
Matt Duchene,DAL,C,82,206.23333333333,8,19,10,9,27,79.41,28,28.57,4.51,69,45,37,13,0,6,0,0,0,0,0,1,9,2,0,3,0,48,45,51.61,353,47,88.25,269,45,85.67,175,36,82.94,34,2,94.44,30.98,2.43,92.71,222,18,92.50,113,7,94.17,16,1,94.12,109,11,90.83,12,1,92.31,205,18,91.93,6,0,100.00,19.43,94.44,1.139,92,21,4,95,95.83,156,44,12,92.86
Matt Grzelcyk,PIT,D,82,170.46666666667,0,15,6,9,15,53.57,17,0.00,1,34,23,7,0,0,5,4,2,2,0,0,0,4,1,1,3,5,0,0,-,285,55,83.82,219,50,81.41,160,39,80.40,28,1,96.55,28.74,3.39,89.45,171,24,87.69,101,9,91.82,12,0,100.00,70,15,82.35,9,0,100.00,189,23,89.15,7,1,87.50,17.50,97.44,1.149,71,14,2,75,97.26,142,25,6,95.95
Matt Martin,NYI,LW,32,1.1833333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-,0,1,0.00,0,1,0.00,0,1,0.00,0,0,-,0,0.02,0.00,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,1,0.00,0,0,-,-,100.00,1.00,0,1,0,3,-,0,1,0,-
Matt Nieto,PIT,LW,32,1.1666666666667,0,1,0,1,1,100.00,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,1,0,100.00,1,0,100.00,1,0,100.00,1,0,100.00,0.09,0,100.00,1,0,100.00,1,0,100.00,1,0,100.00,0,0,-,0,0,-,1,1,50.00,0,0,-,100.00,-,1.00,1,0,0,10,100.00,1,0,1,50.00
Matt Rempe,NYR,C,42,0.8,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,-,-,-,1,0,0,2,100.00,1,0,0,100.00
Matt Roy,WSH,D,69,9.0666666666667,0,0,0,0,0,0.00,1,0.00,0.11,3,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-,21,4,84.00,17,4,80.95,9,4,69.23,1,1,50.00,2.04,0.18,91.74,13,2,86.67,5,1,83.33,0,1,0.00,8,1,88.89,1,0,100.00,11,2,84.62,0,0,-,11.11,75.00,0.861,8,1,2,41,80.00,10,2,3,76.92
Matthew Benning,SJS,D,7,0.56666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,-,-,-,0,0,0,1,-,0,0,0,-
Matthew Highmore,OTT,C,41,1.1666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,1,0,100.00,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,2,0,100.00,0,0,-,-,-,-,3,0,0,4,100.00,3,0,0,100.00
Matthew Kessel,STL,D,29,0.75,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,-,-,-,0,0,0,2,-,0,0,0,-
Matthew Knies,TOR,LW,78,187.68333333333,5,10,8,2,15,44.12,24,20.83,6.94,39,38,34,31,0,4,4,2,2,0,0,2,3,0,3,7,0,0,0,-,356,58,85.99,265,56,82.55,182,47,79.48,34,5,87.18,29.49,4.76,86.10,219,33,86.90,93,17,84.55,14,2,87.50,126,16,88.73,13,1,92.86,242,14,94.53,7,0,100.00,18.68,89.36,1.080,99,11,0,42,100.00,187,24,7,96.39
